Município;Qtd_aprovada;Valor_aprovado;Qtd_apresentada;Valor_apresentado;Qtd_Recusa_Pgto;Perda_Repasse
171780 Ponte Alta do Bom Jesus;309;1707,08;330;1938,08;21;231
171790 Ponte Alta do Tocantins;3506;3837,59;3524;3911,57;18;73,98
171820 Porto Nacional;134894;365706,8;134894;365706,8;0;0
171830 Praia Norte;132;-;132;-;0;0
171840 Presidente Kennedy;911;59,2;911;59,2;0;0
171845 Pugmil;2305;-;2305;-;0;0
171850 Recursolândia;79;-;79;-;0;0
171865 Rio da Conceição;55;-;55;-;0;0
171875 Rio Sono;631;4061,56;631;4061,56;0;0
171880 Sampaio;73;-;73;-;0;0
171888 Santa Maria do Tocantins;48;-;48;-;0;0
171889 Santa Rita do Tocantins;3227;-;3227;-;0;0
171890 Santa Rosa do Tocantins;6710;-;6710;-;0;0
171900 Santa Tereza do Tocantins;4423;-;4423;-;0;0
172010 São Bento do Tocantins;79;-;79;-;0;0
172020 São Miguel do Tocantins;3897;149,52;3897;149,52;0;0
172025 São Salvador do Tocantins;1640;-;1640;-;0;0
172049 São Valério;3094;4401,18;3556;9389,85;462;4988,67
172065 Silvanópolis;4323;6801,19;4323;6801,19;0;0
172085 Sucupira;12;-;12;-;0;0
172090 Taguatinga;7727;7729,19;7735;7729,19;8;0
172093 Taipas do Tocantins;2132;-;2132;-;0;0
172097 Talismã;517;3698,24;517;3698,24;0;0
172110 Tocantínia;80;-;80;-;0;0
172120 Tocantinópolis;37064;101956,77;37064;101956,77;0;0
172130 Tupiratins;35;-;35;-;0;0
172210 Xambioá;6167;33838,48;6167;33838,48;0;0
210005 Açailândia;78899;391694,78;79182;394096,28;283;2401,5
210030 Aldeias Altas;35103;3329,76;35103;3329,76;0;0
210050 Alto Parnaíba;100;-;100;-;0;0
210055 Amapá do Maranhão;6959;-;6959;-;0;0
210090 Araioses;5634;25354,98;5634;25354,98;0;0
210135 Bacurituba;1652;4353,44;1652;4353,44;0;0
210140 Balsas;148410;553182,27;148507;559955,22;97;6772,95
210173 Belágua;1218;5510,19;1218;5510,19;0;0
210193 Bernardo do Mearim;5485;27200,58;5485;27200,58;0;0
210200 Bom Jardim;41007;13451,2;42145;21636,59;1138;8185,39
210203 Bom Jesus das Selvas;6779;44605,95;6787;44803,95;8;198
210220 Buriti;7718;28185,43;8264;30165,43;546;1980
210230 Buriti Bravo;23676;37483,64;23687;37818,59;11;334,95
210232 Buriticupu;91650;765491,37;92973;777385,77;1323;11894,4
210237 Cachoeira Grande;493;5785,2;1281;15421,2;788;9636
210250 Cajari;6322;18727,62;6322;18727,62;0;0
210255 Campestre do Maranhão;69;-;69;-;0;0
210280 Carolina;12946;43331,66;12946;43331,66;0;0
210300 Caxias;349909;2028005,98;366213;2273093,77;16304;245087,79
210310 Cedral;27;-;27;-;0;0
210315 Centro do Guilherme;4481;22366,47;6478;32251,62;1997;9885,15
210325 Cidelândia;5472;9847,2;5545;10711,94;73;864,74
210330 Codó;99156;557817,65;99157;557824,95;1;7,3
210350 Colinas;34900;131195,43;37139;139866,41;2239;8670,98
210355 Conceição do Lago-Açu;2167;10253,1;2167;10253,1;0;0
210370 Cururupu;18186;10568,35;20808;37920,6;2622;27352,25
210390 Duque Bacelar;15020;182,39;15299;182,39;279;0
